tipo,tema,enunciado,alternativa1,alternativa2,alternativa3,alternativa4,resposta,pontos
VERDADEIRO_FALSO,Tecnologia,Recursão sempre é mais eficiente que iteração.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,O protocolo HTTPS usa criptografia SSL/TLS.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,Em POO herança permite que uma classe reutilize código de outra.,,,,,Verdadeiro,10
COMPLETAR,Tecnologia,Complete: A linguagem de marcação usada em páginas web é o _____.,,,,,HTML,20
COMPLETAR,Tecnologia,Complete: Um byte tem _____ bits.,,,,,8,20
COMPLETAR,Tecnologia,Complete: O sistema de controle de versão mais popular é o _____.,,,,,Git,20
COMPLETAR,Tecnologia,Complete: A linguagem nativa do navegador web é o _____.,,,,,JavaScript,20
COMPLETAR,Tecnologia,Complete: O protocolo seguro de transferência de hipertexto é o _____.,,,,,HTTPS,20
COMPLETAR,Tecnologia,Complete: A estrutura de dados LIFO é chamada _____.,,,,,pilha,20
COMPLETAR,Tecnologia,Complete: O acrônimo SQL significa Structured Query _____.,,,,,Language,20
COMPLETAR,Tecnologia,Complete: O arquivo de configuração de dependências no Node.js é o _____.,,,,,package.json,20
COMPLETAR,Tecnologia,Complete: A metodologia ágil baseada em sprints se chama _____.,,,,,Scrum,20
COMPLETAR,Tecnologia,Complete: O processo de encontrar e corrigir bugs é chamado _____.,,,,,debug,20
MULTIPLA,Ciencias,Qual é o nome do processo de obtenção de energia sem oxigênio?,Respiração aeróbia,Fotossíntese,Fermentação,Transpiração,3,10
MULTIPLA,Ciencias,Qual é o nome da escala de temperatura usada em ciência?,Fahrenheit,Celsius,Kelvin,Rankine,3,15
MULTIPLA,Ciencias,Qual é o nome do ramo da física que estuda o calor?,Termodinâmica,Óptica,Mecânica,Eletromagnetismo,1,10
MULTIPLA,Historia,Qual foi o nome da guerra entre Grécia e Troia?,Guerra do Peloponeso,Guerra Médica,Guerra de Troia,Guerra Púnica,3,10
MULTIPLA,Historia,Em que país foi criado o alfabeto grego?,Grécia,Roma,Pérsia,Egito,1,10
MULTIPLA,Historia,Qual foi a primeira cidade do mundo a ter um milhão de habitantes?,Roma,Babilônia,Alexandria,Atenas,1,15
MULTIPLA,Historia,Em que ano foi fundada a cidade de Roma segundo a tradição?,753 a.C.,500 a.C.,300 a.C.,100 a.C.,1,15
MULTIPLA,Matematica,Qual é o resultado de 13 ao quadrado?,159,169,179,189,2,10
MULTIPLA,Matematica,Qual é a soma de todos os ângulos internos de um hexágono?,540,600,720,900,3,15
MULTIPLA,Tecnologia,O que é um servidor proxy?,Banco de dados remoto,Intermediário entre cliente e servidor,Tipo de firewall físico,Protocolo de email,2,10
MULTIPLA,Tecnologia,Qual é o nome do comando git para enviar commits ao repositório remoto?,git pull,git commit,git push,git merge,3,10
MULTIPLA,Tecnologia,O que é um IDE?,Linguagem de programação,Ambiente integrado de desenvolvimento,Tipo de banco de dados,Protocolo de rede,2,10
MULTIPLA,Tecnologia,Qual é o nome da instrução que repete um bloco enquanto uma condição for verdadeira?,for,while,if,switch,2,10
MULTIPLA,Tecnologia,O que é float em programação?,Tipo de loop,Tipo de dado para números decimais,Tipo de estrutura de dados,Tipo de função,2,10
